Date : 2025-03-06 15:45:46
Directory : /home/kid-a/homeworks/compiler/lab1
Total : 1013 files,  130883 codes, 6244 comments, 21489 blanks, all 158616 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
+--------------+------------+------------+------------+------------+------------+
| C++          |        551 |     86,067 |      1,625 |     14,801 |    102,493 |
| /home/kid-a/homeworks/compiler/lab1/.history/lex_20250305130053.l                  | Lex          |        110 |          0 |         10 |        120 |
| /home/kid-a/homeworks/compiler/lab1/.history/lex_20250305130059.l                  | Lex          |        110 |          0 |         10 |        120 |
| /home/kid-a/homeworks/compiler/lab1/.history/lex_20250305130101.l                  | Lex          |        110 |          0 |         10 |        120 |
| /home/kid-a/homeworks/compiler/lab1/.history/lex_20250305130103.l                  | Lex          |        110 |          0 |         10 |        120 |
| /home/kid-a/homeworks/compiler/lab1/.history/lex_20250305130114.l                  | Lex          |        110 |          0 |         10 |        120 |
| /home/kid-a/homeworks/compiler/lab1/.history/lex_20250305130116.l                  | Lex          |        110 |          0 |         10 |        120 |
| /home/kid-a/homeworks/compiler/lab1/.history/lex_20250305130118.l                  | Lex          |        110 |          0 |         10 |        120 |
| /home/kid-a/homeworks/compiler/lab1/.history/lex_20250305130121.l                  | Lex          |        110 |          0 |         10 |        120 |
| /home/kid-a/homeworks/compiler/lab1/.history/lex_20250305130350.l                  | Lex          |        110 |          0 |         10 |        120 |
| /home/kid-a/homeworks/compiler/lab1/.history/lex_20250305130356.l                  | Lex          |        110 |          0 |         10 |        120 |
| /home/kid-a/homeworks/compiler/lab1/.history/lex_20250305130406.l                  | Lex          |        111 |          0 |         10 |        121 |
| /home/kid-a/homeworks/compiler/lab1/.history/lex_20250305130408.l                  | Lex          |        111 |          0 |         10 |        121 |
| /home/kid-a/homeworks/compiler/lab1/.history/lex_20250305130411.l                  | Lex          |        111 |          0 |         10 |        121 |
| /home/kid-a/homeworks/compiler/lab1/.history/lex_20250305130432.l                  | Lex          |        111 |          0 |         10 |        121 |
| /home/kid-a/homeworks/compiler/lab1/.history/lex_20250305130434.l                  | Lex          |        111 |          0 |         10 |        121 |
